symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
KKR,KKR & Co. Inc.,152.365,2.0529,3.065,146.92,152.71,170.4,91.92,135335011585.0,154.9318,127.33595,NYSE,2836867.0,3475247.0,146.92,149.3,2.96,51.47,2025-02-04T05:00:00.000+0000,888229000.0,1738778048
SNY,Sanofi,53.95,0.8411,0.45,53.7162,54.04,58.97,45.22,134636541000.0,49.2372,51.26155,NASDAQ,1396100.0,2519605.0,53.77,53.5,2.36,22.86,2025-04-24T04:00:00.000+0000,2495580000.0,1738777989
BA,The Boeing Company,178.93,1.5321,2.7,175.505,180.54,213.77,137.03,133871131680.0,167.6392,168.6936,NYSE,3591213.0,10803389.0,176.0,176.23,-18.36,-9.75,2025-04-22T12:30:00.000+0000,748176000.0,1738778044
FI,"Fiserv, Inc.",228.34,6.5914,14.12,221.7,231.2099,231.2099,140.26,129906964460.0,209.4984,178.3993,NYSE,2882253.0,2686967.0,224.41,214.22,5.12,44.6,2025-02-05T13:30:00.000+0000,568919000.0,1738778030
COP,ConocoPhillips,99.99,-0.5866,-0.59,99.4,100.88,135.18,94.23,129343064400.0,102.586,110.2404,NYSE,1839776.0,6826825.0,100.53,100.58,8.61,11.61,2025-02-06T13:30:00.000+0000,1293560000.0,1738778046
DE,Deere & Company,467.785,-0.9497,-4.485,464.71,473.99,485.84,340.2,127401712535.0,443.9908,401.0658,NYSE,413458.0,1369789.0,472.51,472.27,25.64,18.24,2025-02-13T13:30:00.000+0000,272351000.0,1738777948
CMCSA,Comcast Corporation,33.755,0.611,0.205,33.31,33.7899,45.31,32.5,127309682900.0,38.87,39.65025,NASDAQ,11108370.0,22389028.0,33.55,33.55,4.18,8.08,2025-04-23T12:30:00.000+0000,3771580000.0,1738778044
SBUX,Starbucks Corporation,111.9716,1.2401,1.3716,109.86,112.03,112.03,71.55,127188540440.0,96.9238,89.0936,NASDAQ,4717590.0,8907816.0,110.12,110.6,3.1,36.12,2025-04-28T10:59:00.000+0000,1135900000.0,1738778050
BHP,BHP Group Limited,49.985,0.3111,0.155,49.88,50.31,63.21,48.06,126778013333.0,50.4636,55.0123,NYSE,1104785.0,2332511.0,49.92,49.83,3.11,16.07,2025-02-17T21:00:00.000+0000,2536321163.0,1738778041
APP,AppLovin Corporation,374.4,-1.5411,-5.86,369.22,378.65,417.635,45.124,125645576285.0,341.5303,166.48595,NASDAQ,1582179.0,6023950.0,377.25,380.26,3.29,113.8,2025-02-12T21:00:00.000+0000,335591817.0,1738778044
