,symbol,date,calendarYear,period,roic,earningsYield
10302,DCP,2017-12-31,2017,FY,0.04669062246368932,0.043986954506540325
10303,DCP,2016-12-31,2016,FY,0.08786245615791415,0.07087387763051498
10304,DCP,2015-12-31,2015,FY,0.06190267738812147,0.08064567473901574
10305,DCP,2014-12-31,2014,FY,0.08443646602589638,0.08734547800277441
10306,DCP,2013-12-31,2013,FY,0.05588168886881915,0.045852503695983364
10307,OGE,2023-12-31,2023,FY,0.04730905668638802,0.0595728222724602
10308,OGE,2022-12-31,2022,FY,0.0681409971169267,0.08407521681857966
10309,OGE,2021-12-31,2021,FY,0.07226696830135504,0.0960046292643152
10310,OGE,2020-12-31,2020,FY,-0.008297095012329486,-0.027246263873712862
10311,OGE,2019-12-31,2019,FY,0.04503262250714757,0.048727603816710936
10312,OGE,2018-12-31,2018,FY,0.04132360356276474,0.054368360399747365
10313,OGE,2017-12-31,2017,FY,0.056117132468301925,0.09418564187819256
10314,OGE,2016-12-31,2016,FY,0.03734253071625327,0.05062900778671744
10315,OGE,2015-12-31,2015,FY,0.03954176803311059,0.05170096754940082
10316,OGE,2014-12-31,2014,FY,0.04127745457940029,0.0560019106867153
10317,CACI,2024-06-30,2024,FY,0.08591722776741334,0.04386226337635251
10318,CACI,2023-06-30,2023,FY,0.07921454350271112,0.048662905977156466
10319,CACI,2022-06-30,2022,FY,0.07026160572519778,0.055519212513748424
10320,CACI,2021-06-30,2021,FY,0.09153770300446853,0.07257843874749323
10321,CACI,2020-06-30,2020,FY,0.07495239840868587,0.059218343507094366
10322,CACI,2019-06-30,2019,FY,0.06890292798086971,0.05112378305261836
10323,CACI,2018-06-30,2018,FY,0.09699203511107021,0.07258834770602109
10324,CACI,2017-06-30,2017,FY,0.05691558562906615,0.05363896816585853
10325,CACI,2016-06-30,2016,FY,0.04870105292571492,0.06510016637950211
